Statistischer Bezirk,Gymnasien (cls:L545)
01 StB Altstadt ohne Johannstadt,18
02 Johannstadt,3
03 StB Neustadt ohne Leipziger Vorstadt,12
"04 Leipziger Vorstadt, Pieschen",9
"05 Mickten, Kaditz, Trachau",0
06 StB Klotzsche und nördliche OS,3
07 StB Loschwitz und OS Schönfeld-Weißig,3
"08 Blasewitz, Striesen",12
"09 Tolkewitz, Seidnitz, Gruna",12
10 StB Leuben,6
"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",3
"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",0
"13 Südvorstadt, Zschertnitz",9
"14 Mockritz, Coschütz, Plauen",3
"15 Cotta, Löbtau, Naußlitz, Dölzschen",3
16 Gorbitz,6
17 Briesnitz und westliche OS,0
