Statistischer Bezirk;Mobilitätspunkte - Konzept, Planung (cls:L833)
227;0
622;0
921;0
132;2
764;0
862;0
763;0
559;0
214;0
615;0
568;0
991;0
768;0
865;2
554;0
061;2
211;2
254;2
541;0
477;0
842;0
735;0
998;0
931;2
963;0
145;2
242;0
773;0
964;2
522;0
578;0
245;0
835;2
074;0
625;0
814;0
244;2
051;0
318;0
813;2
832;0
924;0
454;0
985;2
861;0
851;0
815;0
577;0
313;0
363;0
818;2
742;0
451;0
215;0
226;0
558;0
052;0
755;2
916;0
131;2
765;0
774;2
032;0
036;0
353;2
076;0
241;0
982;0
864;0
868;0
255;0
474;0
542;0
146;0
845;0
317;0
769;0
952;0
557;0
772;0
356;0
465;0
734;0
825;0
569;0
312;0
364;0
624;2
221;2
904;0
455;0
986;0
072;0
852;2
935;0
901;2
754;0
766;0
743;0
819;0
844;0
737;0
475;0
543;2
936;0
212;0
961;0
993;2
824;0
352;0
753;0
816;0
078;0
316;2
767;0
911;2
523;0
965;0
556;0
053;2
905;0
836;0
324;2
073;0
067;0
355;0
617;0
464;0
576;2
311;0
833;0
902;0
321;0
538;0
925;0
472;0
736;0
141;0
867;0
995;0
951;0
915;0
955;0
033;2
853;0
223;0
452;2
077;0
823;0
983;0
247;0
752;0
817;2
331;2
441;0
213;0
063;0
611;2
545;2
922;0
992;0
351;0
966;0
731;0
514;0
111;0
759;0
626;0
079;0
846;0
517;0
473;0
144;0
934;0
994;0
315;0
054;0
361;2
715;0
906;0
621;0
841;0
725;0
251;0
546;0
751;0
222;0
478;0
616;0
154;0
142;0
822;0
908;0
744;0
228;0
837;0
758;0
225;2
134;0
256;0
761;4
923;0
933;0
997;0
143;2
866;0
555;0
914;0
034;0
062;2
733;0
811;0
863;0
714;0
516;0
113;0
821;0
909;0
762;0
471;0
771;0
246;0
757;0
579;2
623;0
224;0
133;0
932;0
996;0
243;0
967;0
314;0
055;0
362;0
984;2
907;0
257;0
476;0
834;0
614;2
843;2
953;0
071;0
732;0
112;0
332;0
756;0
962;0
812;2
981;0
232;0
035;0
644;0
643;0
122;0
978;0
511;2
721;0
414;0
524;2
114;0
726;0
342;0
572;0
563;0
428;0
233;0
975;0
123;2
972;2
421;2
533;0
151;0
115;0
973;0
723;0
422;0
041;2
958;0
252;0
944;0
722;0
525;2
612;0
642;0
513;0
561;2
571;0
121;0
431;2
253;0
945;0
544;0
069;0
613;0
641;0
724;2
971;0
532;0
043;0
946;0
153;0
068;0
341;0
512;2
117;2
152;2
515;0
116;2
518;0
531;2
042;2
427;0
631;0
234;0
025;0
434;0
977;0
011;0
426;2
045;0
632;2
435;0
954;0
453;0
012;0
411;0
066;0
976;0
551;0
354;0
566;0
838;0
425;0
537;0
044;2
463;0
575;0
521;0
957;0
903;0
741;0
941;0
713;0
322;0
075;0
618;0
727;0
024;0
536;0
633;0
031;0
567;0
839;0
526;2
424;0
047;2
913;0
412;2
065;0
249;0
432;0
574;2
831;2
942;0
462;0
323;0
956;0
619;0
728;0
023;0
553;0
634;0
564;0
974;0
535;2
712;0
912;0
413;0
064;0
046;0
646;2
022;0
527;0
248;0
433;2
461;0
573;0
124;0
565;0
118;0
534;0
645;0
423;0
943;0
711;2
552;0
021;0
231;2
562;0
429;0
