Statistischer Bezirk;Sonstige Unterkünfte (cls:L94)
227;0
622;0
921;0
132;1
764;1
862;0
763;0
559;0
214;2
615;0
568;0
991;2
768;0
865;0
554;0
061;0
211;0
254;1
541;0
477;0
842;0
735;0
998;0
931;2
963;0
145;1
242;0
773;0
964;0
522;0
578;2
245;0
835;0
074;0
625;0
814;0
244;2
051;2
318;0
813;0
832;0
924;0
454;2
985;5
861;1
851;0
815;0
577;1
313;0
363;0
818;0
742;9
451;0
215;0
226;0
558;0
052;0
755;3
916;0
131;6
765;0
774;2
032;1
036;0
353;0
076;0
241;1
982;1
864;1
868;2
255;0
474;0
542;0
146;1
845;5
317;0
769;0
952;0
557;0
772;0
356;0
465;1
734;1
825;0
569;0
312;0
364;0
624;2
221;1
904;1
455;2
986;5
072;0
852;4
935;0
901;2
754;0
766;0
743;1
819;0
844;1
737;0
475;0
543;1
936;0
212;0
961;0
993;0
824;1
352;2
753;0
816;2
078;0
316;1
767;0
911;3
523;0
965;0
556;0
053;3
905;0
836;0
324;1
073;0
067;0
355;1
617;0
464;1
576;1
311;4
833;0
902;0
321;2
538;0
925;0
472;1
736;0
141;3
867;1
995;0
951;0
915;2
955;0
033;0
853;1
223;0
452;1
077;0
823;4
983;3
247;0
752;0
817;0
331;0
441;0
213;2
063;0
611;0
545;1
922;0
992;1
351;3
966;0
731;0
514;2
111;2
759;2
626;1
079;0
846;0
517;1
473;0
144;0
934;0
994;0
315;2
054;1
361;0
715;0
906;2
621;4
841;0
725;0
251;1
546;0
751;2
222;0
478;0
616;0
154;0
142;0
822;3
908;0
744;0
228;0
837;0
758;0
225;3
134;2
256;1
761;0
923;2
933;1
997;0
143;1
866;0
555;0
914;0
034;3
062;0
733;0
811;0
863;0
714;0
516;1
113;2
821;0
909;0
762;0
471;1
771;0
246;0
757;0
579;3
623;1
224;0
133;0
932;3
996;0
243;0
967;0
314;0
055;1
362;1
984;3
907;0
257;1
476;0
834;0
614;1
843;1
953;0
071;0
732;2
112;0
332;0
756;7
962;0
812;3
981;1
232;1
035;0
644;0
643;0
122;3
978;0
511;0
721;0
414;3
524;3
114;0
726;0
342;0
572;0
563;0
428;1
233;2
975;0
123;2
972;0
421;6
533;1
151;0
115;0
973;0
723;0
422;3
041;2
958;1
252;3
944;5
722;0
525;1
612;0
642;0
513;0
561;0
571;2
121;1
431;4
253;0
945;1
544;2
069;0
613;2
641;0
724;0
971;0
532;0
043;0
946;3
153;1
068;0
341;0
512;7
117;1
152;0
515;4
116;1
518;0
531;1
042;0
427;2
631;3
234;0
025;0
434;0
977;0
011;4
426;1
045;0
632;3
435;0
954;0
453;1
012;1
411;3
066;1
976;0
551;0
354;4
566;3
838;0
425;3
537;0
044;0
463;0
575;0
521;0
957;0
903;1
741;1
941;1
713;1
322;3
075;0
618;0
727;0
024;0
536;0
633;1
031;1
567;0
839;0
526;1
424;1
047;0
913;0
412;7
065;0
249;0
432;2
574;0
831;0
942;1
462;2
323;2
956;0
619;0
728;0
023;0
553;0
634;4
564;1
974;0
535;0
712;0
912;0
413;2
064;0
046;0
646;2
022;0
527;0
248;3
433;3
461;0
573;0
124;0
565;0
118;4
534;0
645;2
423;2
943;2
711;1
552;0
021;0
231;0
562;1
429;0
